tweet,sentiment
@KinsNatali Seperti kopi hitam yg manis kaya kenangan dan pahit seperti perpisahan,Negative
Gile hari ini gw minum kopi kenangan sama street boba 😭👍,Positive
"Selamat, Kopi Kenangan, unicorn F&amp;B pertama di Asia Tenggara. 👏👏👏  https://t.co/NQ0CBLsCVN",Positive
"seminggu gue dicuekin, tadi tiba2 mas gue bawain kopi kenangan. wow",Positive
@Mange41748297 Kopi kenangan apa kopi mengenang M .. 😁,Positive
@pinkymonkey87 Kagak mel..kopi kenangan..yg paitnya ngalah²in putus cinta....ye kan,Positive
"@tvindonesiawkwk Kopi kenangan, brownies amanda sama roti O",Positive
Kopi kenangan keren👍,Positive
@gemandedmanisss harusnya 'nih aku kasi kopi kenangan',Positive
Pengen kopi kenangan tp knp mager belinyaaa,Positive
"Kopi kenangan keren, unicorn f&amp;b pertama se asia tenggara 🔥🔥",Positive
wasite butuh kopi kenangan koyok e,Positive
@yllwfllsn kopi kenangan,Positive
@mikevillanoo Kalo bcomeback gua traktir kopi kenangan large,Positive
Jadi pengen beli kopi kenangan,Positive
YURA PENGGILA KOPI  SOREKU MINUM JANJI JIWA MALEM MINUM KOPI KENANGAN  LAMBUNGKU ENGGAK GEMETEEEEERRRR  https://t.co/w1tVft5WBw,Positive
Happy new year dari aku yang macet2an demi green tea latte nya kopi kenangan  https://t.co/mxSK9pN1qB,Positive
Jika hadirmu tanpa ada rasa  Kupastikan kopi lebih baik dari mu..  #janjikita  #kopikenangan di  https://t.co/BgI8meIQ3F,Positive
"@RaniKancana_ Ini foto thn 2008, kedai kopi kenangan jaman di Inggris 🤭",Negative
terharu ada kopi kenangan di ap,Positive
"Nikmatnya kopi di sore hari itu bukan terbuat dari senja, hujan dan kenangan.  Tapi ketika cicilan sudah terbayar di awal bulan.",Negative
"Jirr, ternyata starbuck harganya naik semuaa. Udah bener kopi kenangan dah wkwk",Positive
"""Di atas meja tersaji dua cangkir penuh endapan Terlalu kopi untuk kau jadikan kenang-kenangan""",Negative
"Berdasarkan hasil musyawarah warga Delta Sari dan sekitarnya, Delta Sari membutuhkan Bioskop, Cincau Station, Kopi Kenangan, Starbucks, dan jalan yang tidak banjir. Mohon investor kiranya ada yang mau memfasilitasi🙏🏼",Positive
"sebelum fase ini doyan nya kopi kenangan, minum kopken udah kaya sosiyalita. di fase skrg doyan nya es teh indonesia.....menggiurkan",Negative
@convomf Nasi bakar + minum thai tea kopi kenangan,Negative
Secangkir kopi Adalah aromamu Yang tak henti  Membuat kenangan itu Datang tanpa isyarat @PelangiPuisi  #visualisasipuisi  https://t.co/CKqP3oUEMy,Negative
@pokoknamailopyu @gakberesbanget Kopi kenangan jospar josgebg,Negative
Sekarang kopi favorite jatuh kepada kopi kenangan😭,Positive
"Ditambah Kopi Kenangan, ini daftar startup unicorn terbaru di RI -  https://t.co/b7Z0uw7uQa  https://t.co/Mntz2f56PG",Negative
Keluarga besar Kenangan Brands mengucapkan selamat tahun baru 2022 🥳🎉 Semoga tahun ini membawa berkah melimpah bagi kita semua ☺️ #KenanganBrands #KopiKenangan  https://t.co/GYgvfGxZq4,Positive
"Pusing langsung ilang abis pesen light kopi kenangan mantan. Efek masi ngantuk td pas jam 12 malem ada kembang api jedar jeder, bikin bebek printilanku kebangun kabeh dong jelasee 😂 Semoga 2021 lebih lebih baik dan bermanfaat buat orang banyak ❤️",Positive
"Pengen jajan kopi kenangan, terus pulang.",Negative
"Dapat Pendanaan 1,3 Triliun Rupiah, Kopi Kenangan Jadi “Unicorn New Retail” Pertama di Indonesia  https://t.co/l0LITikK7N",Negative
"Selamat tinggal tahun 2021, Selamat datang tahun 2022, merasakan segala kesuksesan pada tahun 2021 ibarat minum KOPI SUSU yang ada pahit &amp; manisnya kini tinggal kenangan, Semoga pada tahun 2022 ini menikmati kesuksesan dengan berbagai rasa ucapan syukur kepada TUHAN.",Positive
"Segelas kopi pertama tahun ini (@ Kopi Kenangan in Sukun, East Java)  https://t.co/cj4mI71QnK  https://t.co/sCTpt8jcDd",Negative
@eyelovegg Kebetulan saya ga suka kopi kenangan👍,Positive
1. Wingstop 2. Agate 3. Pancious 4. Haidilao 5. Kopi Kenangan,Negative
"@thanksic Ati2 kak, denger2 di sono ga ada kopi kenangan",Negative
Tunggu aku diBekasi Nanti kita ngopi bareng Kopi kenangan tentunya *** Selamat tgl 1 dua dua,Positive
Sejauh ini Kopi Kenangan telah mengumpulkan pendanaan ekuitas dari investor senilai $240 juta. https://t.co/wLZtCAXlcV,Negative
"Kesempurnaan rasa kopi berasal dari rasa pahitnya. Oleh karena itu, kenangan pahit akan membentuk kita yang lebih baik di masa depan. Salam ngopi. @ Indonesia  https://t.co/yef0yXzT2m",Positive
Tidur jam 3 bangun jam 7 makasih untuk kopi kenangan karena mu aku gk bisa tidur,Positive
"@eg_nrs Jika kesibukan kerja, teman yg menyenangkan, dan kopi belum mampu meminggirkan kenangan, semoga bahagia datang dari derasnya rejeki..   Selamat pagi",Positive
"Sekarang jam 4 pagi, alarm suamiku sudah bunyi, tp aku ga tidur tidur  Sepertinya karena td jam 9an minum kopi kenangan",Negative
Kopi kenangan bad taste dan bikin sakit perut,Negative
"meneguk kopi bukan cuma tentang mengenang kenangan, itu bisa menjadi hal menegangkan, seperti kamu terjebak dalam sebuah perselingkuhan membuatmu terjaga semalaman tanpa tau dosa yang sudah kamu lakukan",Negative
download aplikasi kopi kenangan sangat menguntungkan👌🏻,Positive
"Kopi Kenangan Light edisi yang kopi susunya enak, ringan, dan cocok untuk bangsa bangsa asam lambung seperti aku",Positive
"@FOODFESS2 Kopi kenangan. Kalau saset kopi ginseng cni, cappuccino indocafe dan good day",Negative
"Menyandang Unicorn, Ini Setrategi Kopi Kenangan 5 Tahun Kedepan  https://t.co/P3GQGiKkim",Positive
ditunggu kopi kenangan x itzy,Positive
@kopikenangan_ Pengen jilatin kn jadinya,Positive
@kopikenangan_ Sherlock lah ko 🤭🤭 tapi sesungguhnya aku minder wkwkkw,Negative
abis minum kopi kenangan kok langsung batuk berdahak 🙄🤮,Negative
Kopi kenangan makannya Gokana haha,Positive
@awkagura02 Gimana gimana? Wkwkwk,Positive
@koh_patr Wkwkwk sini sini,Positive
@kopikenangan_ Jd pengen nemenin wkwkw,Positive
@kopikenangan_ boleh banget wkwkwk #cucimata 😆😆😆,Positive
"Lagu keshi, kopi dan cake kesukaanmu, kafe itu, dan tentu saja kenangan kita.  https://t.co/EvpC9CKMB8",Positive
"KOPI KENANGAN, NEW RETAIL F&amp;B DENGAN PERTUMBUHAN TERCEPAT DI INDONESIA — Sukses Raih Status “Unicorn” Setelah Pendanaan Seri C  https://t.co/gWnOnfBLKk",Positive
"Kopi Kenangan Jadi Unicorn, Akan Terbang Sejauh Apa?  https://t.co/B5iF7YKGXM",Positive
watercolor yg bakal kepake lama 68rb mikir2 terus mw beli apa engga  tpi beli cookies &amp; cream di kopi kenangan + ongkir tanpa promo = 30rban lgsg pencet beli AKWKWJWJWJJW,Positive
